model,MSE,RMSE,R_squared
model1,2.50392833755562,1.58238059187909,0.145607831457867
model2,2.53340248087143,1.59166657339766,0.141162036549647
model3,2.53713669648272,1.59283919354175,0.142224570445541
model4,2.52434626642342,1.58881914213778,0.149136665173404
model5,2.54223940374232,1.59444015370359,0.140129245478388
